Q_no,Chakra_Name_kn,Chakra_Name_te,Chakra_Name_en,Chakra_Name_sa,karaka_no,karaka_name_kn,karaka_name_te,karaka_name_en,karaka_name_sa,chakra_result_kn,chakra_result_te,chakra_result_en,chakra_result_sa
1,ಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,గమన పరీక్షా చక్రం  ,Journey Examination Chakra  ,गमन परीक्षा चक्रम्  ,5,ಶ್ರೀರಾಮ,శ్రీరామ,Sri Rama,श्रीराम,ನೀನು ದಕ್ಷಿಣದಿಕ್ಕಿನಲ್ಲಿ ಹೋಗಬಯಸಿರುವೆ. ಈಗ ಅದು ಈಡೇರುವುದಿಲ್ಲ,నీవు దక్షిణ దిశలో వెళ్లాలని కోరుకుంటున్నావు. ప్రస్తుతం అది నెరవేరదు.,You wish to travel towards the south. It will not be fulfilled now.,त्वं दक्षिणदिशि गन्तुम् इच्छसि। इदानीं तत् न सिद्ध्यति।
1,ಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,గమన పరీక్షా చక్రం  ,Journey Examination Chakra  ,गमन परीक्षा चक्रम्  ,7,ಲಕ್ಷ್ಮಣ,లక్ష్మణుడు,Lakshmana,लक्ष्मण,ಅವನು ಪೂರ್ವದ ದಿಕ್ಕಿಗೆ ಹೋಗಬಯಸಿದ್ದಾನೆ. ಹೋಗದಿದ್ದ ಪಕ್ಷದಲ್ಲಿ ವೊಳ್ಲೇಯದು,అతను తూర్పు దిశకు వెళ్లాలని కోరుకుంటున్నాడు. వెళ్లకపోవడమే మంచిది.,He wishes to go towards the east. It is better not to go.,सः पूर्वदिशि गन्तुम् इच्छति। न गच्छेत् इति उत्तमम्।
1,ಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,గమన పరీక్షా చక్రం  ,Journey Examination Chakra  ,गमन परीक्षा चक्रम्  ,9,ಅಂಗದ,అంగద,organ,अंगद,ನೀನು ಶೀಘ್ರದಲ್ಲೇ  ಪ್ರಯಾಣಮಾಡಿದರೇ ಶುಭವಾಗುತ್ತದೆ,నీవు త్వరలో ప్రయాణం చేస్తే శుభం కలుగుతుంది.,If you travel soon; it will be auspicious.,त्वं शीघ्रं यात्रां कुर्याः चेत् शुभं भवेत्।
1,ಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,గమన పరీక్షా చక్రం  ,Journey Examination Chakra  ,गमन परीक्षा चक्रम्  ,8,ಜಾಂಬವಂತ,జాంబవంతుడు,Jambavanta,जांबवंत,ನೀನು  ಆಗ್ನೇಯದಿಶೆಯಲ್ಲಿ ಹೋಗ ನಿಶ್ಚೆಯ ಮಾಡಿದ್ದಿಯ. ಹೋದರೇ ಸಫಲವಾಗುವುದು,నీవు ఆగ్నేయ దిశలో వెళ్లాలని నిర్ణయించుకున్నావు. వెళితే సఫలమవుతుంది.,You have decided to go towards the southeast. If you go; it will be successful.,त्वम् आग्नेयदिशि गन्तुं निश्चितवान्। गच्छसि चेत् सफलं भवेत्।
1,ಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,గమన పరీక్షా చక్రం  ,Journey Examination Chakra  ,गमन परीक्षा चक्रम्  ,1,ವಾಲಿ,వాలి,Wally,वालि,ನೀನು ದಕ್ಷಿಣದಿಕ್ಕಿನಲ್ಲಿ ಹೋಗಬಯಸಿರುವೆ. ಈಗ ಅದು ಈಡೇರುವುದಿಲ್ಲ,నీవు దక్షిణ దిశలో వెళ్లాలని కోరుకుంటున్నావు. ప్రస్తుతం అది నెరవేరదు.,You wish to travel towards the south. It will not be fulfilled now.,त्वं दक्षिणदिशि गन्तुम् इच्छसि। इदानीं तत् न सिद्ध्यति।
1,ಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,గమన పరీక్షా చక్రం  ,Journey Examination Chakra  ,गमन परीक्षा चक्रम्  ,10,ಹನುಮ,హనుమ,Hanuman,हनुम,ನೀನು ಪೂರ್ವದ ದಿಕ್ಕಿಗೆ ಹೋಗಬಯಸಿದ್ದಿಯ. ಅದು ವೊಳ್ಳೆಯದಾಗುವುದು,నీవు తూర్పు దిశకు వెళ్లాలని కోరుకుంటున్నావు. అది శుభంగా ఉంటుంది.,You wish to go towards the east. It will bring good results.,त्वं पूर्वदिशि गन्तुम् इच्छसि। तत् शुभं भवेत्।
1,ಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,గమన పరీక్షా చక్రం  ,Journey Examination Chakra  ,गमन परीक्षा चक्रम्  ,3,ನೀಲ,నీల,blue,नील,ನೀನು ಉತ್ತರದಿಕ್ಕಿನಲ್ಲಿ ಪ್ರಯಾಣಮಾಡುತ್ತಿಯ. ಆಲಸ್ಯವಾಗಿ ಈಡೇರುವುದು,నీవు ఉత్తర దిశలో ప్రయాణం చేస్తావు. అది ఆలస్యంగా నెరవేరుతుంది.,You will travel towards the north. It will be fulfilled with delay.,त्वम् उत्तरदिशि यात्रां करिष्यसि। विलम्बेन सिद्ध्यति।
1,ಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,గమన పరీక్షా చక్రం  ,Journey Examination Chakra  ,गमन परीक्षा चक्रम्  ,2,ನಲ,నల,Nala,नल,ನೀನು ಹತ್ತರದಲ್ಲಿಯೇ ಪ್ರಯಾಣಮಾಡ ಆಯ್ಕೆಮಾಡಿದ್ದಿಯ. ಲಾಭವಾಗುವುದು,నీవు సమీప ప్రాంతంలోనే ప్రయాణం చేయాలని నిర్ణయించుకున్నావు. లాభం కలుగుతుంది.,You have chosen to travel nearby. It will bring gains.,त्वं समीपे यात्रां कर्तुं निश्चितवान्। लाभः भवेत्।
1,ಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,గమన పరీక్షా చక్రం  ,Journey Examination Chakra  ,गमन परीक्षा चक्रम्  ,6,ವಿಭೀಷಣ,విభీషణుడు,Bhishana,विभीषण,ನೀನು ದಕ್ಷಿಣದಿಕ್ಕಿಗೆ ಹೀಗ ಬಯಸಿರುವೆ. ಆಲಸ್ಯಮಾಡಬೇಡ. ಕಾರ್ಯವು ಫಲಿಸುವುದು,నీవు దక్షిణ దిశకు వెళ్లాలని అనుకుంటున్నావు. ఆలస్యం చేయవద్దు. కార్యం సఫలమవుతుంది.,You wish to go towards the south. Do not delay. The task will be successful.,त्वं दक्षिणदिशि गन्तुम् इच्छसि। मा विलम्बय। कार्यं सफलं भवेत्।
1,ಗಮನ ಪರೀಕ್ಷಾ ಚಕ್ರ,గమన పరీక్షా చక్రం  ,Journey Examination Chakra  ,गमन परीक्षा चक्रम्  ,4,ಸುಗ್ರೀವ,సుగ్రీవ,Sugriva,सुग्रीव,ನೀನು ಉತ್ತರದ ಕಡೆ ಪ್ರಯಾಣಮಾಡಿದರೆ ಉತ್ತಮ,నీవు ఉత్తర దిశగా ప్రయాణిస్తే ఉత్తమం.,It is better if you travel towards the north.,उत्तरदिशि यात्रा उत्तमा भवेत्।
